year;month;CA_gas_price
2002;1;3.42
2002;2;3.23
2002;3;3.71
2002;4;4.01
2002;5;3.84
2002;6;3.55
2002;7;3.51
2002;8;3.48
2002;9;3.75
2002;10;4.22
2002;11;4.52
2002;12;4.93
2003;1;5.17
2003;2;5.84
2003;3;6.93
2003;4;5.31
2003;5;
2003;6;5.87
2003;7;5.48
2003;8;5.25
2003;9;5.25
2003;10;5.06
2003;11;4.96
2003;12;5.62
2004;1;5.91
2004;2;5.71
2004;3;5.36
2004;4;5.78
2004;5;6.19
2004;6;6.47
2004;7;6.36
2004;8;6.05
2004;9;5.28
2004;10;5.73
2004;11;7.01
2004;12;6.82
2005;1;6.29
2005;2;6.33
2005;3;6.83
2005;4;7.14
2005;5;6.53
2005;6;6.49
2005;7;7.06
2005;8;7.86
2005;9;9.61
2005;10;11.1
2005;11;9.46
2005;12;11.55
2006;1;8.78
2006;2;7.42
2006;3;6.63
2006;4;6.53
2006;5;6.23
2006;6;6.2
2006;7;6.44
2006;8;7.16
2006;9;5.97
2006;10;5.52
2006;11;7.26
2006;12;7.3
2007;1;6.7
2007;2;7.39
2007;3;6.91
2007;4;6.67
2007;5;7.09
2007;6;7.13
2007;7;6.72
2007;8;6.28
2007;9;5.74
2007;10;6.56
2007;11;6.7
2007;12;7.35
2008;1;7.66
2008;2;8.4
2008;3;9.23
2008;4;9.91
2008;5;10.47
2008;6;11.5
2008;7;10.92
2008;8;8.25
2008;9;6.55
2008;10;5.73
2008;11;5.41
2008;12;6.06
2009;1;5.47
2009;2;4.67
2009;3;4.05
2009;4;3.91
2009;5;3.99
2009;6;3.76
2009;7;3.98
2009;8;3.93
2009;9;3.77
2009;10;4.78
2009;11;5.01
2009;12;5.88
2010;1;6.49
2010;2;6.08
2010;3;5.37
2010;4;4.77
2010;5;
2010;6;4.9
2010;7;5
2010;8;4.66
2010;9;4.33
2010;10;4.32
2010;11;4.36
2010;12;4.92
2011;1;4.87
2011;2;4.77
2011;3;4.54
2011;4;4.88
2011;5;4.96
2011;6;5.07
2011;7;5.06
2011;8;4.9
2011;9;4.75
2011;10;4.46
2011;11;4.34
2011;12;4.21
2012;1;3.81
2012;2;3.58
2012;3;3.19
2012;4;3.05
2012;5;3.17
2012;6;3.4
2012;7;3.63
2012;8;3.63
2012;9;3.7
2012;10;4.16
2012;11;4.41
2012;12;4.35
2013;1;4.23
2013;2;4.23
2013;3;4.47
2013;4;4.82
2013;5;
2013;6;4.55
2013;7;4.45
2013;8;4.29
2013;9;4.44
2013;10;4.45
2013;11;4.47
2013;12;5.16
2014;1;5.24
2014;2;6.86
2014;3;5.81
2014;4;5.4
2014;5;5.47
2014;6;5.44
2014;7;5.07
2014;8;4.81
2014;9;4.81
2014;10;4.62
2014;11;4.86
2014;12;4.7
2015;1;
2015;2;3.73
2015;3;3.5
2015;4;
2015;5;3.45
2015;6;3.52
2015;7;3.54
2015;8;3.53
2015;9;3.29
2015;10;3.19
2015;11;2.95
2015;12;2.96
2016;1;3.02
2016;2;2.8
2016;3;2.52
2016;4;2.43
2016;5;
2016;6;2.95
2016;7;3.42
2016;8;3.39
2016;9;3.51
2016;10;3.33
2016;11;3.22
2016;12;4.05
2017;1;4.27
2017;2;3.88
2017;3;3.44
2017;4;
2017;5;
2017;6;3.72
2017;7;3.7
2017;8;3.74
2017;9;3.69
2017;10;3.71
2017;11;3.68
2017;12;3.86
2018;1;3.79
2018;2;3.72
2018;3;
2018;4;3.06
2018;5;2.88
2018;6;3.36
2018;7;6.87
2018;8;5.88
2018;9;3.58
2018;10;3.78
2018;11;
2018;12;6.34
2019;1;4.99
2019;2;4.76
2019;3;4.53
2019;4;3.28
2019;5;2.88
2019;6;3.04
2019;7;3.38
2019;8;3.24
2019;9;3.5
2019;10;3.24
2019;11;3.55
2019;12;4
2020;1;3.56
2020;2;2.92
2020;3;2.58
2020;4;2.4
2020;5;
2020;6;
2020;7;2.5
2020;8;
2020;9;3.92
2020;10;3.73
2020;11;4.14
2020;12;4.14
2021;1;3.99
2021;2;5.75
2021;3;3.94
2021;4;3.78
2021;5;
2021;6;4.74
2021;7;5.74
2021;8;5.93
2021;9;6.74
2021;10;6.88
2021;11;6.72
2021;12;6.83
